population	het	psi.sum	rep	pop.size
1	0.1308677	-0.008769242374	1	50:1
2	0.1228204	-0.2889891144	1	50:1
3	0.1222244	-0.3041118351	1	50:1
4	0.1323942	0.01856035495	1	50:1
5	0.1334052	0.1029131071	1	50:1
6	0.1348935	0.1205940765	1	50:1
7	0.1317533	0.04596949609	1	50:1
8	0.1325545	0.07280472822	1	50:1
9	0.1328336	0.127637325	1	50:1
10	0.1307707	0.1133911039	1	50:1
1	0.1243684	-0.2641474689	1	5:1
2	0.1347044	0.1115087608	1	5:1
3	0.1306399	-0.005303686403	1	5:1
4	0.1359108	0.1661207461	1	5:1
5	0.1404688	0.2601842575	1	5:1
6	0.1376476	0.1656656864	1	5:1
7	0.1331774	0.01655936402	1	5:1
8	0.1331431	0.003992869064	1	5:1
9	0.1258278	-0.2117730961	1	5:1
10	0.1259942	-0.2428074326	1	5:1
1	0.1248736	0.04217512732	1	25:1
2	0.1259676	0.05897756985	1	25:1
3	0.1222386	-0.1305031244	1	25:1
4	0.1346877	0.3046245361	1	25:1
5	0.1286508	0.06419047916	1	25:1
6	0.135536	0.2979972835	1	25:1
7	0.1312123	0.1040326422	1	25:1
8	0.1266438	-0.0529382154	1	25:1
9	0.119909	-2.72E-01	1	25:1
10	0.1161196	-0.4165135846	1	25:1
1	0.125777	-0.2671963123	2	5:1
2	0.1342381	0.01050406987	2	5:1
3	0.1398267	0.1518573029	2	5:1
4	0.132734	-0.0667277155	2	5:1
5	0.1346697	0.0645429184	2	5:1
6	0.1418582	0.2387885637	2	5:1
7	0.1384041	0.1322387711	2	5:1
8	0.1424359	0.3078925067	2	5:1
9	0.1323541	-7.18E-02	2	5:1
10	0.1189864	-0.5000528131	2	5:1
1	0.11435	-0.5848851179	3	5:1
2	0.1221792	-0.2866314274	3	5:1
3	0.1235288	-0.2537555948	3	5:1
4	0.1271306	-0.1186648049	3	5:1
5	0.1368851	0.1613776987	3	5:1
6	0.1441257	0.382637973	3	5:1
7	0.1409368	0.3457643373	3	5:1
8	0.1409001	0.2571694032	3	5:1
9	0.1265449	-1.91E-01	3	5:1
10	0.1402194	0.2875541173	3	5:1
1	0.120893	-0.2776372151	4	5:1
2	0.1376469	0.3578243324	4	5:1
3	0.1259774	-0.04224924228	4	5:1
4	0.1302346	0.08889624118	4	5:1
5	0.1325581	0.1031567703	4	5:1
6	0.134715	0.1608015013	4	5:1
7	0.1308371	0.09337630702	4	5:1
8	0.1283718	-0.002059998642	4	5:1
9	0.114859	-5.42E-01	4	5:1
10	0.1293821	0.05988826197	4	5:1
1	0.1169762	-0.4001098508	5	5:1
2	0.1232085	-0.2212195488	5	5:1
3	0.1336281	0.1489271965	5	5:1
4	0.1282879	-0.05267034016	5	5:1
5	0.1324475	0.112130873	5	5:1
6	0.1364083	0.2909503363	5	5:1
7	0.1315124	0.1016913294	5	5:1
8	0.1272651	-0.003902270607	5	5:1
9	0.1267301	-4.83E-02	5	5:1
10	0.1301191	0.07251272535	5	5:1
1	0.1043126	-0.8550828343	6	5:1
2	0.1219731	-0.06765501219	6	5:1
3	0.1230784	-0.114321153	6	5:1
4	0.1246986	0.01077722054	6	5:1
5	0.1365715	0.3694670737	6	5:1
6	0.1250369	-0.01381489512	6	5:1
7	0.1324279	0.2571996363	6	5:1
8	0.133563	0.2881080816	6	5:1
9	0.1236694	-1.46E-02	6	5:1
10	0.1280662	0.1399470748	6	5:1
1	0.1172006	-0.5191705936	7	5:1
2	0.1198157	-0.4458977597	7	5:1
3	0.1356879	0.1475519697	7	5:1
4	0.1419114	0.3727842129	7	5:1
5	0.1287506	-0.1468697932	7	5:1
6	0.134582	0.0835356123	7	5:1
7	0.1368185	0.2154764396	7	5:1
8	0.1341931	0.1212220893	7	5:1
9	0.1302433	-4.35E-02	7	5:1
10	0.1398892	0.2148697361	7	5:1
1	0.1134971	-0.6732404692	8	5:1
2	0.1356813	0.1786045165	8	5:1
3	0.1332438	0.05941723755	8	5:1
4	0.1238444	-0.1771095421	8	5:1
5	0.1348827	0.1280507658	8	5:1
6	0.1323951	0.05035056422	8	5:1
7	0.1377305	0.2502492972	8	5:1
8	0.1304033	0.04450984807	8	5:1
9	0.1346705	1.82E-01	8	5:1
10	0.1291677	-0.04272148423	8	5:1
1	0.1389213	0.3172085162	9	5:1
2	0.1385618	0.2899511594	9	5:1
3	0.1326974	0.1094606985	9	5:1
