sample	layer_1	layer_2	long	lat	pop
NS5_New_Smyrna_FL	0.9995901558	0.0004098441812	-80.897	29.043	NSFL
NS6_New_Smyrna_FL	0.9999988992	1.10E-06	-80.897	29.043	NSFL
NS8_New_Smyrna_FL	0.9994620965	0.0005379035172	-80.897	29.043	NSFL
NS9_New_Smyrna_FL	0.9999999878	1.22E-08	-80.897	29.043	NSFL
HH5_Hilton_Head_SC	0.9999886051	1.14E-05	-80.695	32.192	HHSC
HH6_Hilton_Head_SC	0.9999982682	1.73E-06	-80.695	32.192	HHSC
HH7_Hilton_Head_SC	0.999956737	4.33E-05	-80.695	32.192	HHSC
HH8_Hilton_Head_SC	0.9999998783	1.22E-07	-80.695	32.192	HHSC
HH10_Hilton_Head_SC	0.9999989839	1.02E-06	-80.695	32.192	HHSC
MB2_Myrtle_Beach_SC	0.9521027453	0.04789725469	-78.927	33.649	MBSC
MB3_Myrtle_Beach_SC	0.9488880838	0.05111191623	-78.927	33.649	MBSC
MB4_Myrtle_Beach_SC	0.9636002466	0.03639975343	-78.927	33.649	MBSC
MB7_Myrtle_Beach_SC	0.9523778403	0.04762215972	-78.927	33.649	MBSC
MB8_Myrtle_Beach_SC	0.938797502	0.061202498	-78.927	33.649	MBSC
TB5_Topsail_Beach_NC	0.8946674952	0.1053325048	-77.62	34.371	TBNC
TB6_Topsail_Beach_NC	0.9095619111	0.09043808887	-77.62	34.371	TBNC
TB7_Topsail_Beach_NC	0.8899335967	0.1100664033	-77.62	34.371	TBNC
TB8_Topsail_Beach_NC	0.8896771045	0.1103228955	-77.62	34.371	TBNC
EI6_Emerald_Island_NC	0.8632039439	0.1367960561	-77.034	34.66	EINC
EI7_Emerald_Island_NC	0.8596298683	0.1403701317	-77.034	34.66	EINC
EI8_Emerald_Island_NC	0.87004477	0.12995523	-77.034	34.66	EINC
EI9_Emerald_Island_NC	0.845813004	0.154186996	-77.034	34.66	EINC
CH5_Cape_Hatteras_NC	0.8120924896	0.1879075104	-75.48	35.469	CHNC
CH6_Cape_Hatteras_NC	0.8017694233	0.1982305767	-75.48	35.469	CHNC
CH7_Cape_Hatteras_NC	0.8283632261	0.1716367739	-75.48	35.469	CHNC
CH8_Cape_Hatteras_NC	0.8104943658	0.1895056342	-75.48	35.469	CHNC
CH10_Cape_Hatteras_NC	0.8201754976	0.1798245024	-75.48	35.469	CHNC
CU5_Currituck_Beach_NC	0.804504241	0.195495759	-75.824	36.381	CBNC
CU6_Currituck_Beach_NC	0.8033669764	0.1966330236	-75.824	36.381	CBNC
CU7_Currituck_Beach_NC	0.8313069402	0.1686930598	-75.824	36.381	CBNC
CU8_Currituck_Beach_NC	0.8258009167	0.1741990833	-75.824	36.381	CBNC
VB5_Virginia_Beach_VA	0.8272987031	0.1727012969	-75.985	36.892	VBVA
VB6_Virginia_Beach_VA	0.7891443493	0.2108556507	-75.985	36.892	VBVA
VB7_Virginia_Beach_VA	0.7902658871	0.2097341129	-75.985	36.892	VBVA
VB8_Virginia_Beach_VA	0.7906239266	0.2093760734	-75.985	36.892	VBVA
AI1_Assateague_Island_VA	0.3923768012	0.6076231988	-75.341	37.888	AIVA
AI2_Assateague_Island_VA	0.4165349235	0.5834650765	-75.341	37.888	AIVA
AI5_Assateague_Island_VA	0.3733844688	0.6266155312	-75.341	37.888	AIVA
CM5_Cape_May_NJ	0.2058659418	0.7941340582	-74.912	38.93	CMNJ
CM6_Cape_May_NJ	0.2384486351	0.7615513649	-74.912	38.93	CMNJ
CM7_Cape_May_NJ	0.265159382	0.734840618	-74.912	38.93	CMNJ
CM8_Cape_May_NJ	0.2673492661	0.7326507339	-74.912	38.93	CMNJ
CM9_Cape_May_NJ	0.2385834249	0.7614165751	-74.912	38.93	CMNJ
LB1_Long_Beach_NJ	0.1055441719	0.8944558281	-74.197	39.615	LBNJ
LB3_Long_Beach_NJ	0.1243307585	0.8756692415	-74.197	39.615	LBNJ
LB4_Long_Beach_NJ	0.09688310209	0.9031168979	-74.197	39.615	LBNJ
LB5_Long_Beach_NJ	0.09337239364	0.9066276064	-74.197	39.615	LBNJ
LB9_Long_Beach_NJ	0.1266242946	0.8733757054	-74.197	39.615	LBNJ
NB2_Nickerson_Beach_NY	0.08885877748	0.9111412225	-73.605	40.585	NBNY
NB4_Nickerson_Beach_NY	0.1222159297	0.8777840703	-73.605	40.585	NBNY
NB5_Nickerson_Beach_NY	0.06052936092	0.9394706391	-73.605	40.585	NBNY
NB7_Nickerson_Beach_NY	0.09196907737	0.9080309226	-73.605	40.585	NBNY
WH2_Watch_Hill_RI	0.09409014998	0.90590985	-71.859	41.308	WHRI
WH3_Watch_Hill_RI	0.04155962872	0.9584403713	-71.859	41.308	WHRI
WH4_Watch_Hill_RI	0.05227779692	0.9477222031	-71.859	41.308	WHRI
CR1_Crescent_Beach_ME	0.001289332914	0.9987106671	-70.224	43.564	CBME
CR2_Crescent_Beach_ME	0.01298172926	0.9870182707	-70.224	43.564	CBME
CR3_Crescent_Beach_ME	0.0004955436922	0.9995044563	-70.224	43.564	CBME
CR4_Crescent_Beach_ME	1.55E-07	0.9999998452	-70.224	43.564	CBME
