pop	layer_1	layer_2	long	lat
1	0.9997627848	0.0002372151615	-80.897	29.043
2	0.9999884945	1.15E-05	-80.695	32.192
3	0.9511532836	0.04884671641	-78.927	33.649
4	0.8959600269	0.1040399731	-77.62	34.371
5	0.8596728966	0.1403271034	-77.034	34.66
6	0.8145790005	0.1854209995	-75.48	35.469
7	0.8162447686	0.1837552314	-75.824	36.381
8	0.7993332165	0.2006667835	-75.985	36.892
9	0.3940987312	0.6059012688	-75.341	37.888
10	0.24308133	0.75691867	-74.912	38.93
11	0.1093509442	0.8906490558	-74.197	39.615
12	0.09089328636	0.9091067136	-73.605	40.585
13	0.06264252521	0.9373574748	-71.859	41.308
14	0.003691690178	0.9963083098	-70.224	43.564
