id	longitude	latitude	psi	het
Cocoa_Beach_FL	-80.607	28.316	-1.325507992	0.06429614
New_Smyrna_FL	-80.897	29.043	-1.054766767	0.06608256
Jacksonville_Beach_FL	-81.386	30.282	-1.165756028	0.064275
Hilton_Head_SC	-80.695	32.192	-1.178777227	0.06540642
Folly_Beach_SC	-79.907	32.668	-0.7193807647	0.0640279
Myrtle_Beach_SC	-78.927	33.649	0.1511101138	0.07691821
Topsail_Beach_NC	-77.62	34.371	0.5228653315	0.07763759
Emerald_Island_NC	-77.034	34.66	1.395162146	0.08626329
Cape_Hatteras_NC	-75.48	35.469	1.420718383	0.09052153
Virginia_Beach_VA	-75.985	36.892	1.57348376	0.08956199
Cape_May_NJ	-74.912	38.93	1.616904785	0.09224661
Long_Beach_NJ	-74.197	39.615	2.26412105	0.09239848
Sea_Bright_NJ	-73.972	40.362	1.469059484	0.08902101
Nickerson_Beach_NY	-73.605	40.585	0.5725426168	0.07835192
Watch_Hill_RI	-71.859	41.308	-0.4652250825	0.05881678
Crescent_Beach_ME	-70.224	43.564	0.1247227132	0.07347137
Watch_Hill_RI	-71.859	41.308	-1.547473752	0.05909459
Crescent_Beach_ME	-70.224	43.564	-3.653802771	0.04635109
