SampleName	Group	Cluster	PC1	PC2	latitude	longitude	pi	mean_depth	F	low_cov_pi	low_mean_depth
CB2_Cocoa_Beach_FL	Cocoa_Beach_FL	Cluster2	0.121648	-0.165911	28.316	-80.607	0.001269935245	7.08137	0.66615	0.002043760967	5.75614
CB4_Cocoa_Beach_FL	Cocoa_Beach_FL	Cluster2	0.124564	-0.16853	28.316	-80.607	0.001456640956	7.99734	0.61163	0.001427533513	6.07282
CB5_Cocoa_Beach_FL	Cocoa_Beach_FL	Cluster2	0.128503	-0.167593	28.316	-80.607	0.001484084251	8.45904	0.63198	0.00158227084	6.97329
CB8_Cocoa_Beach_FL	Cocoa_Beach_FL	Cluster2	0.118523	-0.162557	28.316	-80.607	0.002028875974	20.6743	0.48145	0.001662740811	6.87305
CB10_Cocoa_Beach_FL	Cocoa_Beach_FL	Cluster2	0.124354	-0.167024	28.316	-80.607	0.002053893539	78.9289	0.49648	0.001887969948	6.11478
NS5_New_Smyrna_FL	New_Smyrna_FL	Cluster2	0.1326	-0.185787	29.043	-80.897	0.001974375062	50.5222	0.49634	0.001593217988	6.14675
NS6_New_Smyrna_FL	New_Smyrna_FL	Cluster2	0.134674	-0.192825	29.043	-80.897	0.001882485575	20.3198	0.49661	0.001977667367	6.93767
NS8_New_Smyrna_FL	New_Smyrna_FL	Cluster2	0.135634	-0.190249	29.043	-80.897	0.001848079653	17.0561	0.52921	0.001789482478	6.83379
NS9_New_Smyrna_FL	New_Smyrna_FL	Cluster2	0.135245	-0.185324	29.043	-80.897	0.001807288318	18.4988	0.54905	0.001801680431	6.78195
NS10_New_Smyrna_FL	New_Smyrna_FL	Cluster2	0.134275	-0.1826	29.043	-80.897	0.001457801175	8.90181	0.61982	0.00172487368	6.80142
JB6_Jacksonville_Beach_FL	Jacksonville_Beach_FL	Cluster2	0.137352	-0.180623	30.282	-81.386	0.001884556042	80.4654	0.50271	0.001474427831	6.96067
JB7_Jacksonville_Beach_FL	Jacksonville_Beach_FL	Cluster2	0.130429	-0.174466	30.282	-81.386	0.001462525782	11.0008	0.55273	0.00191134377	6.23518
