population	het	psi.sum	rep	model
1	0.09281939	-1.180965983	1	center_asym
2	0.07491636	-2.109449886	1	center_asym
3	0.10677997	-0.6029661937	1	center_asym
4	0.10665317	-0.5189986393	1	center_asym
5	0.15770698	1.222583148	1	center_asym
6	0.16264678	1.379113914	1	center_asym
7	0.1557155	1.135011289	1	center_asym
8	0.12775812	0.457321992	1	center_asym
9	0.11886095	0.1342783559	1	center_asym
10	0.11658604	0.08407200467	1	center_asym
1	0.1243684	-0.2641474689	1	center_sym
2	0.1347044	0.1115087608	1	center_sym
3	0.1306399	-0.005303686403	1	center_sym
4	0.1359108	0.1661207461	1	center_sym
5	0.1404688	0.2601842575	1	center_sym
6	0.1376476	0.1656656864	1	center_sym
7	0.1331774	0.01655936402	1	center_sym
8	0.1331431	0.003992869064	1	center_sym
9	0.1258278	-0.2117730961	1	center_sym
10	0.1259942	-0.2428074326	1	center_sym
1	0.1274719	-0.1475309962	1	equal_sym
2	0.1336758	0.1134569305	1	equal_sym
3	0.1312642	0.04499783689	1	equal_sym
4	0.1313858	0.07077032766	1	equal_sym
5	0.1307187	0.0108486141	1	equal_sym
6	0.1313095	0.07601074125	1	equal_sym
7	0.1263639	-0.1282645054	1	equal_sym
8	0.1255181	-0.1602443514	1	equal_sym
9	0.1309953	0.07991194638	1	equal_sym
10	0.1310642	0.04004345621	1	equal_sym
1	0.1204347	-0.1750323501	1	equal_asym
2	0.1279959	0.1213495759	1	equal_asym
3	0.136886	0.4387975609	1	equal_asym
4	0.1362806	0.3804936176	1	equal_asym
5	0.1325397	0.2536557993	1	equal_asym
6	0.1396304	0.5094669075	1	equal_asym
7	0.1346399	0.2966903534	1	equal_asym
8	0.1106475	-0.510945203	1	equal_asym
9	0.1064241	-0.6532228015	1	equal_asym
10	0.1072886	-0.66125346	1	equal_asym
1	0.08849655	-1.058295969	2	center_asym
2	0.09512346	-0.7203764358	2	center_asym
3	0.1156403	0.2151655922	2	center_asym
4	0.13991944	0.9644899844	2	center_asym
5	0.13028876	0.7048436721	2	center_asym
6	0.14320569	0.9739181738	2	center_asym
7	0.13749425	0.8807712802	2	center_asym
8	0.08684557	-1.092679774	2	center_asym
9	0.09672003	-6.27E-01	2	center_asym
10	0.10553777	-0.2406107474	2	center_asym
1	0.11648303	0.1121091541	3	center_asym
2	0.1169307	0.1842862564	3	center_asym
3	0.1197455	0.2819021514	3	center_asym
4	0.14356705	1.134117972	3	center_asym
5	0.14065822	0.9038824624	3	center_asym
6	0.13709424	0.837205424	3	center_asym
7	0.1134076	0.06645546033	3	center_asym
